rank,base_product,suggested_product,recommendation_basis,commercial_review,location_priority_bucket,location_proximity,priority_bucket,score,base_customer_count,base_order_count,base_product_last_seen_date,base_product_orders_last_12m,base_product_live_title,base_product_url,base_product_url_confidence,base_product_locality,base_product_country,base_product_continent,suggested_customer_count,suggested_product_last_seen_date,suggested_product_orders_last_12m,suggested_product_recent_activity_weight,suggested_product_live_title,suggested_product_url,suggested_product_url_match_score,suggested_product_url_match_gap,suggested_product_url_confidence,suggested_product_locality,suggested_product_country,suggested_product_continent,overlap_customer_count,later_customer_count,later_customer_weighted_12m,post_purchase_rate,same_order_count,same_order_weighted_12m,same_order_rate,phi_coefficient,lift,recency_weighted_score,confidence_flag,suggested_product_url_clean
3,Botafogo Matchday Experience w…,Watch Flamengo at Maracanã: Ti…,later_lifecycle,approved_same_city,0,same_city,5,443.06729,167,168,2026-04-13,168,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/,high,Rio de Janeiro,Brazil,South America,429,2026-04-12,437,689.797273,Watch Flamengo at Maracanã: Ticket + Matchday Experience with a Local!,https://homefans.com/product/flamengo-live-at-maracana-stadium/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.452,0.712,high,Rio de Janeiro,Brazil,South America,3,1,1.523288,0.005988,0,0.0,0.0,-0.057839,0.172857,443.06729,medium,https://homefans.com/product/flamengo-live-at-maracana-stadium/
1,Fluminense Matchday Experience…,Vasco da Gama Match Experience,later_lifecycle,approved_same_city,0,same_city,3,24.514632,158,162,2026-04-12,162,Fluminense Matchday Experience – Long Side Seats,https://homefans.com/product/fluminense-matchday-experience-short-side-seats/,high,Rio de Janeiro,Brazil,South America,5,2026-03-26,5,7.646575,Vasco da Gama Match Experience,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.955,0.386,high,Rio de Janeiro,Brazil,South America,1,1,1.616438,0.006329,0,0.0,0.0,0.029354,5.225316,24.514632,medium,https://homefans.com/product/vasco-da-gama-match-experience-the-most-hostile-ground-as-a-local/
2,Fluminense Matchday Experience…,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,0,same_city,5,194.594148,158,162,2026-04-12,162,Fluminense Matchday Experience – Long Side Seats,https://homefans.com/product/fluminense-matchday-experience-short-side-seats/,high,Rio de Janeiro,Brazil,South America,167,2026-04-13,168,269.446588,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.631,0.251,high,Rio de Janeiro,Brazil,South America,2,2,3.136986,0.012658,0,0.0,0.0,-0.028146,0.312893,194.594148,medium,https://homefans.com/product/botafogo-matchday-experience-2/
3,Fluminense Matchday Experience…,Flamengo Matchday Adventure -…,later_lifecycle,approved_same_city,0,same_city,5,175.28472,158,162,2026-04-12,162,Fluminense Matchday Experience – Long Side Seats,https://homefans.com/product/fluminense-matchday-experience-short-side-seats/,high,Rio de Janeiro,Brazil,South America,169,2026-04-13,169,253.136988,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.486,0.926,high,Rio de Janeiro,Brazil,South America,1,1,1.50411,0.006329,0,0.0,0.0,-0.034846,0.154595,175.28472,low,https://homefans.com/product/flamengo-matchday-experience-2/
1,Flamengo Matchday Experience (…,Botafogo Matchday Experience w…,later_lifecycle,approved_same_city,0,same_city,5,179.98889,152,153,2026-04-10,153,Flamengo Matchday Experience (Short Side seats),https://homefans.com/product/flamengo-matchday-experience/,high,Rio de Janeiro,Brazil,South America,167,2026-04-13,168,269.446588,BOTAFOGO MATCHDAY EXPERIENCE,https://homefans.com/product/botafogo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.631,0.251,high,Rio de Janeiro,Brazil,South America,1,1,1.276712,0.006579,0,0.0,0.0,-0.033618,0.162622,179.98889,low,https://homefans.com/product/botafogo-matchday-experience-2/
2,Flamengo Matchday Experience (…,Flamengo Matchday Adventure -…,later_lifecycle,approved_same_city,0,same_city,5,177.612963,152,153,2026-04-10,153,Flamengo Matchday Experience (Short Side seats),https://homefans.com/product/flamengo-matchday-experience/,high,Rio de Janeiro,Brazil,South America,169,2026-04-13,169,253.136988,Flamengo Matchday Adventure – Experience our Atmosphere!,https://homefans.com/product/flamengo-matchday-experience-2/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.486,0.926,high,Rio de Janeiro,Brazil,South America,1,1,1.967123,0.006579,0,0.0,0.0,-0.033905,0.160698,177.612963,low,https://homefans.com/product/flamengo-matchday-experience-2/
1,Experience River Plate Matchda…,Boca Juniors Matchday Like a L…,later_lifecycle,approved_same_city,0,same_city,1,301.519389,125,128,2026-04-13,128,Experience River Plate Matchday like a local at El Monumental – Shortside Seats,https://homefans.com/product/river-plate-matchday-experience/,high,Buenos Aires,Argentina,South America,184,2026-04-13,185,297.326031,Boca Juniors Matchday Like a Local at La Bombonera – Long Side Seats with Transport,https://homefans.com/product/boca-juniors-matchday-experience-4/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.438,0.254,high,Buenos Aires,Argentina,South America,13,7,12.021918,0.056,1,1.356164,0.007812,0.050887,2.333217,301.519389,high,https://homefans.com/product/boca-juniors-matchday-experience-4/
2,Experience River Plate Matchda…,CA Independiente Local Matchda…,later_lifecycle,approved_same_city,0,same_city,1,163.518292,125,128,2026-04-13,128,Experience River Plate Matchday like a local at El Monumental – Shortside Seats,https://homefans.com/product/river-plate-matchday-experience/,high,Buenos Aires,Argentina,South America,41,2026-04-13,41,69.630138,CA Independiente Local Matchday Experience,https://homefans.com/product/independiente-local-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_2,2.148,0.922,high,Buenos Aires,Argentina,South America,9,7,12.410959,0.056,1,1.756164,0.007812,0.110605,7.249171,163.518292,high,https://homefans.com/product/independiente-local-matchday-experience/
3,Experience River Plate Matchda…,Velez Sarsfield like a local:…,later_lifecycle,approved_same_city,0,same_city,1,99.569707,125,128,2026-04-13,128,Experience River Plate Matchday like a local at El Monumental – Shortside Seats,https://homefans.com/product/river-plate-matchday-experience/,high,Buenos Aires,Argentina,South America,45,2026-04-06,46,78.10411,Velez Sarsfield like a local: Matchday!,https://homefans.com/product/velez-sarsfield-like-a-local-matchday/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_3,2.771,0.91,high,Buenos Aires,Argentina,South America,5,2,3.917809,0.016,1,1.756164,0.007812,0.04952,3.669333,99.569707,high,https://homefans.com/product/velez-sarsfield-like-a-local-matchday/
1,Boca Juniors Popular Matchday…,San Lorenzo Matchday Experienc…,later_lifecycle,approved_same_city,0,same_city,3,54.906769,86,86,2026-04-05,86,Boca Juniors Popular Matchday Experience (Standing Section),https://homefans.com/product/boca-juniors-matchday-experience/,high,Buenos Aires,Argentina,South America,37,2026-04-13,39,63.816441,San Lorenzo Matchday Experience,https://homefans.com/product/san-lorenzo-matchday-experience/?utm_source=klaviyo&utm_medium=email&utm_campaign=post_purchase_upsell&utm_content=upsell_suggestion_1,2.595,0.055,high,Buenos Aires,Argentina,South America,1,1,1.460274,0.011628,0,0.0,0.0,0.004124,1.297297,54.906769,medium,https://homefans.com/product/san-lorenzo-matchday-experience/
