working,http_status,curl_exit_code,link_type,url,clean_url,final_url,occurrences,first_base_product,first_suggestion_rank,first_suggestion,checked_at,error
yes,200,0,base_product_url,https://homefans.com/product/bombonera-tour-museum-caminito-walk/,https://homefans.com/product/bombonera-tour-museum-caminito-walk/,https://homefans.com/shop/,1,Bombonera Tour + Museum & Cami…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/botafogo-fr-matchday-experience/,https://homefans.com/product/botafogo-fr-matchday-experience/,https://homefans.com/product/botafogo-fr-matchday-experience/,1,Botafogo FR Matchday Experienc…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/,https://homefans.com/product/botafogo-matchday-experience-2/,2,Botafogo Matchday Experience w…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/brazil-argentina-small-group-adventures/,https://homefans.com/product/brazil-argentina-small-group-adventures/,https://homefans.com/product/brazil-argentina-small-group-adventures/,1,ARGENTINA & BRAZIL: Rio de Jan…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/,https://homefans.com/product/brazil-game-experience-at-maracana-stadium-with-a-local-fan/,1,Brazil Game Experience at Mara…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/breakfast-2/,https://homefans.com/product/breakfast-2/,https://homefans.com/shop/,1,Breakfast,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/bucharest-derby-matchday-experience/,https://homefans.com/product/bucharest-derby-matchday-experience/,https://homefans.com/product/bucharest-derby-matchday-experience/,1,Bucharest Derby Matchday Exper…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/budapest-derby-ferencvarosi-v-ujpest-2/,https://homefans.com/product/budapest-derby-ferencvarosi-v-ujpest-2/,https://homefans.com/product/budapest-derby-ferencvarosi-v-ujpest-2/,1,Budapest Derby: Ferencvárosi v…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/c-d-guadalajara-las-chivas-matchday-experience/,https://homefans.com/product/c-d-guadalajara-las-chivas-matchday-experience/,https://homefans.com/product/c-d-guadalajara-las-chivas-matchday-experience/,1,C.D. Guadalajara: Las Chivas M…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/cartagena-match-day-experience/,https://homefans.com/product/cartagena-match-day-experience/,https://homefans.com/product/cartagena-match-day-experience/,1,Cartagena Match Day Experience,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/celtic-glasgow-matchday-experience/,https://homefans.com/product/celtic-glasgow-matchday-experience/,https://homefans.com/product/celtic-glasgow-matchday-experience/,1,Celtic - Glasgow Matchday Expe…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/charlton-athletic-matchday-experience-the-valley-london/,https://homefans.com/product/charlton-athletic-matchday-experience-the-valley-london/,https://homefans.com/product/charlton-athletic-matchday-experience-the-valley-london/,1,Charlton Athletic Matchday Exp…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/club-america-match-day-experience-mexico-city/,https://homefans.com/product/club-america-match-day-experience-mexico-city/,https://homefans.com/product/club-america-match-day-experience-mexico-city/,2,Club América Match Day Experie…,,,2026-04-20 America/Los_Angeles,
